market_name,token_id,date_time,market_slug
"Bitcoin Up or Down - July 23, 1AM ET",8545389113188392521165618526914088351568078903871680443195680955488426956781,2025-07-23 01:00 EDT,bitcoin-up-or-down-july-23-1am-et
"Bitcoin Up or Down - July 23, 2AM ET",27940092955662676211993073124493246170212840516347284612033684513461914874671,2025-07-23 02:00 EDT,bitcoin-up-or-down-july-23-2am-et
"Bitcoin Up or Down - July 23, 3AM ET",53071765264062753611430911128636766141998694935682598606622746536872631498001,2025-07-23 03:00 EDT,bitcoin-up-or-down-july-23-3am-et
"Bitcoin Up or Down - July 23, 4AM ET",95729318129524181827345277883264412307599349885699609680474452963289211033091,2025-07-23 04:00 EDT,bitcoin-up-or-down-july-23-4am-et
"Bitcoin Up or Down - July 23, 5AM ET",28772470853293191232046895611300148568817235543139224337542067159806980990264,2025-07-23 05:00 EDT,bitcoin-up-or-down-july-23-5am-et
"Bitcoin Up or Down - July 23, 6AM ET",48265229075699810575615195960350327251649249472425670542273139796024867853711,2025-07-23 06:00 EDT,bitcoin-up-or-down-july-23-6am-et
"Bitcoin Up or Down - July 23, 7AM ET",22812129400614424910100722215583742262558793265623986983645005412608259054456,2025-07-23 07:00 EDT,bitcoin-up-or-down-july-23-7am-et
"Bitcoin Up or Down - July 23, 8AM ET",99047481927574301712799140068338533052223249778400097914984518016311211814373,2025-07-23 08:00 EDT,bitcoin-up-or-down-july-23-8am-et
"Bitcoin Up or Down - July 23, 9AM ET",91817934121182393824605123366030829726771139297120674836076839000290174140993,2025-07-23 09:00 EDT,bitcoin-up-or-down-july-23-9am-et
"Bitcoin Up or Down - July 23, 10AM ET",105227839327812996728231835160514135505314928635294413307017078140805630562441,2025-07-23 10:00 EDT,bitcoin-up-or-down-july-23-10am-et
"Bitcoin Up or Down - July 23, 11AM ET",97154996134194751555906563083397413839877870494608385649875921808303983637177,2025-07-23 11:00 EDT,bitcoin-up-or-down-july-23-11am-et
"Bitcoin Up or Down - July 23, 12PM ET",25406656317071330651052512857427145909769885370528864014225133777810475054577,2025-07-23 12:00 EDT,bitcoin-up-or-down-july-23-12pm-et
"Bitcoin Up or Down - July 23, 1PM ET",93438562967383518388756593382505962320668690215197872838854751122228665630460,2025-07-23 13:00 EDT,bitcoin-up-or-down-july-23-1pm-et
"Bitcoin Up or Down - July 23, 2PM ET",11294041074566972966507805263219881843737467537272148998909703804784175649728,2025-07-23 14:00 EDT,bitcoin-up-or-down-july-23-2pm-et
"Bitcoin Up or Down - July 23, 3PM ET",82810480600193396209090433661013065385169910869889914990785243598778643252382,2025-07-23 15:00 EDT,bitcoin-up-or-down-july-23-3pm-et
"Bitcoin Up or Down - July 23, 4PM ET",96034968762258121806997114939368992298775443272321829989914872697223248546808,2025-07-23 16:00 EDT,bitcoin-up-or-down-july-23-4pm-et
"Bitcoin Up or Down - July 23, 5PM ET",20079362873485794647002912819018684502093980514069848154439459553892595127864,2025-07-23 17:00 EDT,bitcoin-up-or-down-july-23-5pm-et
"Bitcoin Up or Down - July 23, 6PM ET",79847147640091204388076801739970495386194332305710492085842790629181272508284,2025-07-23 18:00 EDT,bitcoin-up-or-down-july-23-6pm-et
"Bitcoin Up or Down - July 23, 7PM ET",83767942806957499299735495004970995012424129645168468161035399029007842958598,2025-07-23 19:00 EDT,bitcoin-up-or-down-july-23-7pm-et
"Bitcoin Up or Down - July 23, 8PM ET",7851266746361472498326183011616331726150493857051966134922232346027899996389,2025-07-23 20:00 EDT,bitcoin-up-or-down-july-23-8pm-et
"Bitcoin Up or Down - July 23, 9PM ET",94930972957609863948447730760602793014707860523843081230137967527725239974365,2025-07-23 21:00 EDT,bitcoin-up-or-down-july-23-9pm-et
"Bitcoin Up or Down - July 23, 10PM ET",3730163022997332718890233773555483611180032924782574634897603369554217906436,2025-07-23 22:00 EDT,bitcoin-up-or-down-july-23-10pm-et
"Bitcoin Up or Down - July 23, 11PM ET",98607282406639478758622535505036728998856068147765043547421875097983356328057,2025-07-23 23:00 EDT,bitcoin-up-or-down-july-23-11pm-et
